,outputs
87,"{'ID': 88, 'name': 'Технопарк', 'address': 'Хорошёвский пр., 14, село Немчиновка', 'website': 'www.technopark.ru', 'opening_hours': {'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59', 'sun': '00:00-23:59'}, 'ypage': 'https://yandex.ru/maps/org/tekhnopark/196272144470/?ll=37.378494%2C55.721478&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 755-57-77 (доб. 7586)Показать телефон'], 'social': []}"
88,"{'ID': 89, 'name': 'Сфера Звука', 'address': 'ул. Ильинка, 4, Москва', 'website': 'sferazvyka.ru', 'opening_hours': {'mon': '11:00-20:00', 'tue': '11:00-20:00', 'wed': '11:00-20:00', 'thu': '11:00-20:00', 'fri': '11:00-20:00', 'sat': '11:00-20:00', 'sun': '11:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/sfera_zvuka/1356450530/?ll=37.625261%2C55.753089&z=15', 'goods': None, 'rating': '4,8', 'reviews': None, 'phone': ['+7 (916) 805-24-45Показать телефон'], 'social': ['http://youtube.com/channel/UCBKqXcviSluNnNqLE_R_97w']}"
89,"{'ID': 90, 'name': 'Технопарк', 'address': 'МКАД, 24-й километр, 1, посёлок Совхоза имени Ленина', 'website': 'www.technopark.ru', 'opening_hours': {'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59', 'sun': '00:00-23:59'}, 'ypage': 'https://yandex.ru/maps/org/tekhnopark/47310218952/?ll=37.724823%2C55.585327&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 755-57-77 (доб. 7597)Показать телефон'], 'social': ['https://ok.ru/group/52570757267676', 'https://vk.com/technoparkru']}"
90,"{'ID': 91, 'name': 'М.Видео', 'address': 'Куликовская ул., 6, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': 'выходной', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/1735143178/?ll=37.565263%2C55.574050&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
91,"{'ID': 92, 'name': 'Савёловский', 'address': 'ул. Сущёвский Вал, 5, стр. 1А, Москва', 'website': 'www.savel.ru', 'opening_hours': {'mon': '10:00-21:00', 'tue': '10:00-21:00', 'wed': '10:00-21:00', 'thu': '10:00-21:00', 'fri': '10:00-21:00', 'sat': '10:00-21:00', 'sun': '10:00-21:00'}, 'ypage': 'https://yandex.ru/maps/org/savyolovskiy/1151616644/?ll=37.592833%2C55.794143&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (495) 780-63-93Показать телефон'], 'social': ['https://t.me/tk_savela', 'https://vk.com/tksavel']}"
92,"{'ID': 93, 'name': 'I-masha', 'address': 'Багратионовский пр., 7, корп. 3, Москва', 'website': 'i-masha.ru', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00', 'sun': '10:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/i_masha/1179533865/?ll=37.504053%2C55.741490&z=16', 'goods': None, 'rating': '3,9', 'reviews': None, 'phone': [], 'social': ['http://vk.com/club20728070']}"
93,"{'ID': 94, 'name': 'DNS', 'address': 'площадь Киевского Вокзала, 2, Москва', 'website': 'dns-shop.ru', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-23:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/dns/185487626596/?ll=37.566072%2C55.744637&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['8 (800) 700-46-66Показать телефон'], 'social': ['https://vk.com/dnsstore', 'https://www.youtube.com/c/DNSTV']}"
94,"{'ID': 95, 'name': 'М.Видео', 'address': 'Митинская ул., 36, корп. 1, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': 'выходной', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/1014876283/?ll=37.361939%2C55.846694&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
95,"{'ID': 96, 'name': 'Вольтик.ру', 'address': 'Электродная ул., 10, стр. 3, Москва', 'website': 'voltiq.ru', 'opening_hours': {'mon': 'выходной', 'tue': 'выходной', 'wed': 'выходной', 'thu': '11:00-19:00', 'fri': 'выходной', 'sat': 'выходной', 'sun': 'выходной'}, 'ypage': 'https://yandex.ru/maps/org/voltik_ru/13333695084/?ll=37.753999%2C55.750669&z=14', 'goods': None, 'rating': '5,0', 'reviews': None, 'phone': ['+7 (499) 393-33-61Показать телефон'], 'social': ['https://vk.com/voltiq']}"
96,"{'ID': 97, 'name': 'Смарт-Молл', 'address': 'Кировоградская ул., 15, Москва', 'website': '', 'opening_hours': {'mon': '10:00-20:00', 'tue': '10:00-20:00', 'wed': '10:00-20:00', 'thu': '10:00-20:00', 'fri': '10:00-20:00', 'sat': '10:00-20:00', 'sun': '10:00-20:00'}, 'ypage': 'https://yandex.ru/maps/org/smart_moll/1283297021/?ll=37.605324%2C55.609629&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['+7 (495) 764-72-01Показать телефон'], 'social': []}"
97,"{'ID': 98, 'name': 'М.Видео', 'address': 'Хорошёвское ш., 27, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': '12:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/132997321186/?ll=37.523708%2C55.777100&z=16', 'goods': None, 'rating': '4,4', 'reviews': None, 'phone': ['8 (800) 600-77-75Показать телефон'], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
98,"{'ID': 99, 'name': 'Xiaomi', 'address': 'Тверская ул., 27, стр. 1, Москва', 'website': 'mi-shop.com', 'opening_hours': {'mon': '09:00-23:00', 'tue': '09:00-23:00', 'wed': '09:00-23:00', 'thu': '09:00-23:00', 'fri': '09:00-23:00', 'sat': '09:00-23:00', 'sun': '09:00-23:00'}, 'ypage': 'https://yandex.ru/maps/org/xiaomi/167434681255/?ll=37.598527%2C55.768250&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': ['+7 (495) 109-00-54Показать телефон'], 'social': ['https://t.me/officialmishopcom', 'https://vk.com/mi.russia', 'https://wa.me/79661679919', 'https://www.youtube.com/channel/UCoWAwnX1SGmQ5jiXCjdF-Cw']}"
99,"{'ID': 100, 'name': 'М.Видео', 'address': 'Трубная площадь, 2, Москва', 'website': 'app.mvideo.ru', 'opening_hours': {'mon': '10:00-22:00', 'tue': '10:00-22:00', 'wed': '10:00-22:00', 'thu': '10:00-22:00', 'fri': '10:00-22:00', 'sat': '10:00-22:00', 'sun': '10:00-22:00'}, 'ypage': 'https://yandex.ru/maps/org/m_video/1017332012/?ll=37.622333%2C55.766491&z=16', 'goods': None, 'rating': '4,3', 'reviews': None, 'phone': [], 'social': ['https://ok.ru/mvideo', 'https://t.me/mvideo_official_bot', 'https://vk.com/mvideo', 'https://www.youtube.com/channel/UC84Z1707LlhS2zervmoqt3A']}"
